school_id,org_name,url,latitude,longitude,school_donations,org_type,total,enrolment_scheme,isolation_index
86,Onehunga High School,http://www.onehungahigh.school.nz,-36.919501,174.770963,"Donations should not be requested, unless for a school camp",Secondary (Year 9-15),1082,Yes,0.27
95,Papatoetoe High School,http://www.papatoetoehigh.school.nz,-36.975523,174.871805,"Donations should not be requested, unless for a school camp",Secondary (Year 9-15),1745,Yes,0.04
472,OneSchool Global - New Zealand,https://www.oneschoolglobal.com,-36.930189,174.786583,Not applicable,Composite,1503,No,not applicable
80,Pakuranga College,http://www.pakuranga.school.nz,-36.89763,174.901771,"Donations should not be requested, unless for a school camp",Secondary (Year 9-15),2227,Yes,0.35
96,Aorere College,http://www.aorere.ac.nz/,-36.981416,174.833081,"Donations should not be requested, unless for a school camp",Secondary (Year 9-15),1740,Yes,0.09
36,Takapuna Grammar School,http://www.takapuna.school.nz,-36.800616,174.788477,Donations may be requested,Secondary (Year 9-15),2194,Yes,0.17
49,Selwyn College,http://www.selwyn.school.nz,-36.86233,174.838551,Donations may be requested,Secondary (Year 9-15),1631,Yes,0.26
2085,ACG Parnell College,http://www.acgedu.com/nz/parnell,-36.863654,174.778126,Not applicable,Composite,1902,No,not applicable
688,Ormiston Primary School,http://www.ormistonprimary.school.nz,-36.968315,174.920677,"Donations should not be requested, unless for a school camp",Contributing,1110,Yes,0.21
6930,Botany Downs Secondary College,http://www.bdsc.school.nz,-36.934108,174.915446,Donations may be requested,Secondary (Year 9-15),2009,Yes,0.24
27,Long Bay College,http://www.longbaycollege.com,-36.691395,174.738757,Donations may be requested,Secondary (Year 9-15),1908,Yes,0.30
78,Avondale College,http://www.avcol.school.nz,-36.891482,174.691137,"Donations should not be requested, unless for a school camp",Secondary (Year 9-15),2819,Yes,0.17
69,Mt Albert Grammar School,http://www.mags.school.nz,-36.884707,174.725349,Donations may be requested,Secondary (Year 9-15),3593,Yes,0.19
6948,Albany Junior High School,http://www.ajhs.school.nz,-36.749098,174.692581,Donations may be requested,Secondary (Year 7-10),1243,Yes,0.17
28,Rangitoto College,http://www.rangitoto.school.nz,-36.737197,174.736684,Donations may be requested,Secondary (Year 9-15),4097,Yes,0.20
44,Waitakere College,https://www.waitakerecollege.school.nz/,-36.867097,174.620712,"Donations should not be requested, unless for a school camp",Secondary (Year 9-15),2006,Yes,0.24
440,Pinehurst School,http://www.pinehurst.school.nz,-36.739163,174.704012,Not applicable,Composite,1101,No,not applicable
452,Southern Cross Campus,http://www.southerncross.school.nz/,-36.964291,174.816726,"Donations should not be requested, unless for a school camp",Composite,1668,Yes,0.15
29,Kristin School,http://www.kristin.school.nz/,-36.742989,174.692243,Not applicable,Composite,1712,No,not applicable
32,Northcote College,http://www.northcote.school.nz,-36.808881,174.733677,Donations may be requested,Secondary (Year 9-15),1516,Yes,0.14
6929,Alfriston College,http://www.alfristoncollege.school.nz,-37.017649,174.919792,"Donations should not be requested, unless for a school camp",Secondary (Year 9-15),1260,Yes,0.24
45,Henderson High School,http://www.hhs.school.nz,-36.883656,174.628205,"Donations should not be requested, unless for a school camp",Secondary (Year 9-15),1079,Yes,0.21
43,Massey High School,http://www.masseyhigh.school.nz/,-36.84188,174.601693,"Donations should not be requested, unless for a school camp",Secondary (Year 9-15),2089,Yes,0.35
41,Macleans College,http://www.macleans.school.nz,-36.882722,174.914424,Donations may be requested,Secondary (Year 9-15),2962,Yes,0.41
65,Glendowie College,http://www.gdc.school.nz,-36.862578,174.868137,Donations may be requested,Secondary (Year 9-15),1218,Yes,0.38
40,Rutherford College,https://www.rutherford.school.nz/,-36.85259,174.646309,"Donations should not be requested, unless for a school camp",Secondary (Year 9-15),1571,Yes,0.32
58,Tangaroa College,http://www.tangaroa.school.nz,-36.972905,174.892909,"Donations should not be requested, unless for a school camp",Secondary (Year 9-15),1002,Yes,0.12
564,Ormiston Senior College,http://www.ormiston.school.nz/,-36.96796,174.918244,"Donations should not be requested, unless for a school camp",Secondary (Year 11-15),1503,Yes,0.19
88,Otahuhu College,http://www.otahuhucollege.school.nz,-36.953118,174.840645,"Donations should not be requested, unless for a school camp",Secondary (Year 9-15),1174,Yes,0.12
48,Western Springs College-Ngā Puna o Waiōrea,http://www.westernsprings.school.nz,-36.861976,174.717535,Donations may be requested,Secondary (Year 9-15),1822,Yes,0.18
100,James Cook High School,http://www.jchs.school.nz,-37.03498,174.885978,"Donations should not be requested, unless for a school camp",Secondary (Year 9-15),1756,Yes,0.25
709,Ormiston Junior College,http://www.ojc.school.nz,-36.967849,174.919678,"Donations should not be requested, unless for a school camp",Secondary (Year 7-10),1425,Yes,0.21
81,Saint Kentigern College,http://www.saintkentigern.com,-36.909712,174.875035,Not applicable,Secondary (Year 7-15),2366,No,not applicable
85,One Tree Hill College,http://www.onetreehillcollege.school.nz,-36.902825,174.80696,"Donations should not be requested, unless for a school camp",Secondary (Year 9-15),1487,Yes,0.20
87,Howick College,http://www.howickcollege.school.nz,-36.90657,174.939278,Donations may be requested,Secondary (Year 9-15),2204,Yes,0.35
