latitude,longitude,place_name,place_lat,place_lng
-36.919501,174.770963,Royal Oak Liquor Centre,-36.9117276,174.77648850000003
-36.975523,174.871805,Puhinui Liquor,-36.982464199999995,174.87637189999998
-36.975523,174.871805,Thirsty Liquor,-36.9709642,174.8625453
-36.930189,174.786583,Thirsty Liquor,-36.9231152,174.7861759
-36.89763,174.901771,Super Liquor Highland Park,-36.900588899999995,174.9050445
-36.89763,174.901771,Pakuranga Liquor Spot,-36.8997824,174.89921420000002
-36.89763,174.901771,Liquor Centre Highland Park,-36.8990073,174.9040517
-36.89763,174.901771,The Bottle-O Aviemore,-36.9020656,174.90453080000003
-36.800616,174.788477,Thirsty Liquor Belmont Peninsula,-36.808059199999995,174.79042769999998
-36.800616,174.788477,Hauraki Corner Cellars,-36.797112899999995,174.77845520000002
-36.800616,174.788477,Lacan Wines,-36.8073695,174.79247669999998
-36.86233,174.838551,Liquor Centre Mission Bay,-36.859591900000005,174.82998
-36.86233,174.838551,Liquor Spot kepa road,-36.8602932,174.83664969999998
-36.86233,174.838551,Black Bull Liquor Kohimarama,-36.8636173,174.8416168
-36.863654,174.778126,Maison Vauron,-36.8674019,174.77378149999998
-36.863654,174.778126,Crown Range Cellar Lounge,-36.8558719,174.7806127
-36.863654,174.778126,Liquorland Parnell,-36.8579751,174.78190429999998
-36.863654,174.778126,Your Local Liquor Newmarket,-36.870194399999995,174.7782308
-36.863654,174.778126,Grafton Liquor Centre,-36.8607851,174.7677335
-36.863654,174.778126,Glengarry Wines - Khyber Pass Newmarket,-36.866965,174.774376
-36.863654,174.778126,The Bottle-O Newmarket,-36.8716943,174.7794548
-36.863654,174.778126,Tokyo Liquor Newmarket,-36.867264,174.7757229
-36.863654,174.778126,Accent on Wine,-36.8579107,174.7818024
-36.968315,174.920677,The Cellar Ormiston Town Centre - Liquor Store Ormiston,-36.9649389,174.9140917
-36.691395,174.738757,Liquorland Long Bay,-36.6852136,174.74057499999998
-36.691395,174.738757,Torbay Fine Wine,-36.6982253,174.7333894
-36.891482,174.691137,Super Liquor Avondale,-36.8979184,174.696564
-36.884707,174.725349,Saint Lukes Liquor Centre,-36.8794209,174.7338561
-36.884707,174.725349,Cheers NZ Liquor Mt Albert,-36.8837908,174.7158656
-36.749098,174.692581,Liquorland Albany,-36.7443581,174.6935196
-36.749098,174.692581,Albany Liquor,-36.7447369,174.6968128
-36.749098,174.692581,Thirsty Liquor Rosedale,-36.742791,174.6972975
-36.749098,174.692581,Wine And More,-36.7428169,174.69729909999998
-36.749098,174.692581,Liquor Centre Albany Highway,-36.7468967,174.69370419999998
-36.737197,174.736684,The Bottle-O Rosedale,-36.7388889,174.7272222
-36.737197,174.736684,The Bottle O Windsor Park,-36.738766399999996,174.74120639999998
-36.737197,174.736684,Thirsty Liquor East Coast Bay,-36.7344012,174.733327
-36.737197,174.736684,Kiwi Liquor Rosedale,-36.7388969,174.7272913
-36.867097,174.620712,Liquorland Lincoln Green,-36.862474000000006,174.6295257
